[CHECKSUM=0:18:1029]
[DATE=2009-11-23 16:10:13]
[ENCODING=UTF-8]

#
#  Language file: Estonian
#  Supplier: www.saurus.info 
#  

# SYSTEM STRING; DESCRIPTION; TRANSLATION;



[system:1:System]
Content templates;Content templates;Sisumallid;
content_editing;Content editing;Sisu toimetamine;
counter;Counter;Loendur;
create_glossary;Add glossary;Lisa sõnastik;
create_sub_site;Create new site;Loo uus sait;
Custom;Custom;Eri tüüp;
Custom assets;Custom assets;Eriobjektid;
Custom Style Sheet;CSS styles;CSS stiilid;
data;Data;Andmed;
data_type;Data type;Andmetüüp;
debugging;Debugging;Debugimine;
Default;Default;Vaikimisi;
default_timezone;Default timezone;Vaikimisi ajavöönd;
default_value;Default value;Vaikeväärtus;
Delete old data;Delete old data;Kustuta vanad andmed;
Design;Visual Design;Kujundus;
Directories;Directories;XML vood;
Dokumendid;Documents;Dokumendid;
E-Commerce;E-Commerce;E-pood;
editor_manual;Editor manual;Toimetaja kasutajajuhend;
Element_name;Element_name;Elemendi nimi;
Element_path;Element_path;Elemendi path;
Email;Email;E-mail;
Empty;Empty;Tühjenda;
Error log;Error Log;Veateadete Logi;
ERROR: File upload error;File upload error!!!;Viga faili üleslaadimisel!!!;
ERROR: Language-file corrupted;Language-file corrupted!;Vales formaadis keelefail!;
ERROR: There is invalid language in lang-file;ERROR: There is invalid language in lang-file!;VIGA: keelefailis olev keel ei kattu siin lehel valitud keelega!;
error_notifications;Error notifications;Vigade teavitused;
estcard_payment;Credit Cards (ESTCARD);Krediitkaardid (ESTCARD);
explorer;Site Explorer;Saidi Sirvija;
Export;Export;Eksport;
export_glossary;Export glossary;Ekspordi sõnastik;
Extensions;Extensions;Tarkvara laiendused;
extension_upload;Upload extension;Tarkvara laienduse üleslaadimine;
extension_upload_error;Error occured in extension upload;Viga tarkvara laienduse üleslaadimisel;
external tables;External tables;Välised tabelid;
e_payment;Bank payments;Pangamaksed;
favorites;Favorites;Lemmikud;
feedbackforms_properties;Feedback forms;Tagasisidevormid;
feedback_forms;Feedback forms;Tagasisidevormid;
feedback_from_email;From;Kellelt;
feedback_type_bug;Bug;Viga;
feedback_type_feature;Feature request;Puuduv funktsionaalsus;
feedback_type_other;Other;Muu;
Fields;Fields;Väljad;
file manager;File manager;Failiarhiiv;
filemanager;Files;Failid;
files;Files;Failid;
file_dir;File/Dir;Fail või kataloog;
file_list;List;Nimekiri;
folders;Folders;Kaustad;
footer;Footer;Jalus;
Form;Form;Vorm;
form_messages;Feedback form messages;Tagasiside vormi teated;
forums_and_comments;Forums and comments;Kommentaarid ja foorumi postitused;
found;Found;Leiti;
from_email;from email;Kellelt;
gallery;Gallery;Galerii;
Gallup;Gallup;Gallup;
Get values from;Get values from;Võta väärtused;
Glossary export;Glossary export;Sõnastiku eksport;
Glossary import;Glossary import;Sõnastiku import;
glossary_changed;glossary changed;sõnastik muudetud;
glossary_created;glossary created;sõnastik loodud;
glossary_delete;Delete glossary;Kustuta sõnastik;
glossary_delete_confirm;Are you sure you want to delete glossary;Oled kindel, et soovid kustutada sõnastikku;
glossary_edit;Edit glossary;Muuda sõnastikku;
glossary_exists;Glossary already exists;Sõnastik on juba olemas;
glossary_is_used_by;glossary is used by;sõnastik on kasutusel;
glossary_name_and_encoding_required;Glossary name and encoding are required;Sõnastiku nimi ja kodeering on kohustuslikud;
glossary_removed;glossary removed;sõnastik eemaldatud;
glossary_translation_deleted;Translation deleted;Tõlge kustutatud;
glossary_translation_delete_confirm;Are you sure you want to delete translation;Oled kindel, et soovid kustutada tõlget;
glossary_translation_exists;Translation already exists;Tõlge on juba olemas;
hanza_payment;Hansabank;Hansapank;
help;Help;Abi;
help_topics;Help topics;Abi teemad;
Hidden;Hidden;Peidetud;
html_format;html format;HTML;
Image manipulation;Image manipulation;Piltide haldus;
image_resizing;Image resizing;Pildi suuruse muutmine;
Import;Import;Import;
import_glossary;Import glossary;Impordi sõnastik;
input_type;Input type;Väljatüüp;
Integration;Integration;Integratsioon;
IP filter;IP filter;IP filter;
IP Filter: Kasutusel avalikus veebis;Enable for public site;Kasutusel avalikus veebis;
IP filter: Kasutusel toimetaja keskkonnas;Enable for content creation;Kasutusel toimetaja keskkonnas;
IP Filter: Keela koik, valja arvatud;Deny all, except;Keela kõik, välja arvatud;
IP Filter: Luba autoriseeritud kasutajaid;Allow authorized users;Luba autoriseeritud kasutajaid;
IP Filter: Luba koik, valja arvatud;Allow all, except;Luba kõik, välja arvatud;
krep_payment;Eesti Krediidipank;Eesti Krediidipank;
Lang-file import finished successfully;Lang-file import finished successfully!;Keelefaili sisu imporditud sõnastikku;
Language;Language;Keel;
Language file;Language file;Keelte fail;
Languages;Languages;Saidid;
LDAP;LDAP;LDAP;
LDAP_Andmeseosed;LDAP_Andmeseosed;Andmeseosed;
LDAP_elements;LDAP_elements;LDAP element;
LDAP_Server_config;LDAP_Server_config;LDAP serveri konfiguratsioon;
License;License;Litsents;
Link verifier;Link verifier;Lingikontroll;
List;List;Nimekiri;
Locale;Locale;Locale;
Log;Log;Veebisaidi Logi;
logging;Logging;Logid;
Login;Login;Logi sisse;
Login URL;Login URL;Login URL;
mailinglist_format;Mailinglist format;Mailinglisti formaat;
mailing_list;Mailing list;Mailinglist;
mails_has_been_sent;mails_has_been_sent;kirjad on saadetud!;
mail_has_been_sent;mail_has_been_sent;kiri on saadetud!;
main_sections;Main sections;Põhirubriigid;
Mapped sections;Mapped sections;Seotud rubriigid;
Mapping;Data mapping;XML andmeseosed;
map_to;Field in CMS database;Väli CMSi andmebaasis;
Master_templates;Master templates;Põhimallid;
Maximum logins error;You have exceeded the maximum number of login attempts. You will have to wait for [minutes] minutes before you can attempt to login again.;You have exceeded the maximum number of login attempts. You will have to wait for [minutes] minutes before you can attempt to login again.;
meta-info;Meta-info;Metainfo;
missing;missing;puudub;
move_files;Move;Liiguta;
msg: Language file uploaded;msg: Language file uploaded;Keelefail üleslaaditud;
my_account;My account;Minu konto;
name;Name;Nimi;
nordea_payment;Nordea Pank;Nordea Pank;
NTLM;NTLM;NTLM;
Nupp: Edasi;Button: Continue;Edasi;
Nupp: Request downloading from supplier;Button: Request downloading from supplier;Laadi alla Sauruse kodulehelt;
object_templates;Object templates;Objekti mallid;
oi_format;Output/Input format;Formaat;
ok;OK;OK;
Orders;Orders;Tellimused;
Organization;Organization;Organisatsioon;
Original string;Original system string;Tõlge tootes;
overview;Overview;Ülevaade;
overwrite;Overwrite existing data;Asenda olemasolevad andmed;
Overwrite custom translations;Overwrite custom translations;Kirjuta üle muudetud tõlked;
overwrite_file;Are you sure you want to overwrite existing file?;Kas oled kindel, et soovid olemasoleva faili uuega asendada?;
Page templates;Page templates;Lehemallid;
page_end_html;Page-end HTML;Google Analytics JavaScript;
Passwd fieldname;Password fieldname;Parooli väljanimi;
Password;Password;Parool;
People;People;Inimesed;
Permissions;Permissions;Õigused;
plain_text;plain text;Tavaline tekst;
please_fill_in_the_title!;Please fill in the title!;Palun täida pealkiri!;
presentation;Presentation;Presentatsioon;
Privileegid;Privileges;Privileegid;
products;Products;Tooted;
product_category;Product category;Kategooria;
product_manufacturer;Product manufacturer;Tootja;
product_profiles;Product profiles;Toote profiilid;
profile definition;Profile Definition;Määrangud;
Profiles;Profiles;Profiilid;
profile_data;Data;Andmed;
Properties;Properties;Määrangud;
protocol;Protocol;Protokoll;
proxy;Proxy for outgoing connection;Välisühenduse proxy;
Recievers;Recievers;Saajad;
Recycle Bin is empty;Recycle Bin is empty;Prügikast on tühi;
recycle_bin;Recycle Bin;Prügikast;
Refresh;Refresh;Uuenda;
